1: 0 [160.0 240.0 0.0] 1 [100 100 255 0 0] 2 [100 100]
2: 0 [480.0 240.0 0.0] 1 [100 100 0 0 0] 2 [100 100]
3: 0 [160.0 100.0 0.0] 1 [50 50 0 255 0] 2 [50 50]
4: 0 [480.0 350.0 0.0] 1 [100 100 0 0 0] 2 [100 100]
5: 0 [480.0 460.0 0.0] 1 [100 100 0 0 0] 2 [100 100]
6: 0 [480.0 130.0 0.0] 1 [100 100 0 0 0] 2 [100 100]
7: 0 [480.0 20.0 0.0] 1 [100 100 0 0 0] 2 [100 100]
8: 0 [590.0 240.0 0.0] 1 [10 10 36 175 178] 2 [10 10]
9: 0 [600.0 250.0 0.0] 1 [10 10 143 34 189] 2 [10 10]
10: 0 [610.0 260.0 0.0] 1 [10 10 0 234 13] 2 [10 10]
